Guardians of the Galaxy,James Gunn,121
Prometheus,Ridley Scott,124
Split,M. Night Shyamalan,117
Sing,Christophe Lourdelet,108
Suicide Squad,David Ayer,123
The Great Wall,Yimou Zhang,103
La La Land,Damien Chazelle,128
Mindhorn,Sean Foley,89
The Lost City of Z,James Gray,141
Passengers,Morten Tyldum,116
Fantastic Beasts and Where to Find Them,David Yates,133
Hidden Figures,Theodore Melfi,127
Rogue One,Gareth Edwards,133
Moana,Ron Clements,107
Colossal,Nacho Vigalondo,109
The Secret Life of Pets,Chris Renaud,87
Hacksaw Ridge,Mel Gibson,139
Jason Bourne,Paul Greengrass,123
Lion,Garth Davis,118
Arrival,Denis Villeneuve,116
Gold,Stephen Gaghan,120
Manchester by the Sea,Kenneth Lonergan,137
Hounds of Love,Ben Young,108
Trolls,Walt Dohrn,92
Independence Day: Resurgence,Roland Emmerich,120
Paris pieds nus,Dominique Abel,83
Bahubali: The Beginning,S.S. Rajamouli,159
Dead Awake,Phillip Guzman,99
Bad Moms,Jon Lucas,100
Assassin's Creed,Justin Kurzel,115
Why Him?,John Hamburg,111
Nocturnal Animals,Tom Ford,116
X-Men: Apocalypse,Bryan Singer,144
Deadpool,Tim Miller,108
Resident Evil: The Final Chapter,Paul W.S. Anderson,107
Captain America: Civil War,Anthony Russo,147
Interstellar,Christopher Nolan,169
Doctor Strange,Scott Derrickson,115
The Magnificent Seven,Antoine Fuqua,132
5- 25- 77,Patrick Read Johnson,113
Sausage Party,Greg Tiernan,89
Moonlight,Barry Jenkins,111
Don't Fuck in the Woods,Shawn Burkett,73
The Founder,John Lee Hancock,115
Lowriders,Ricardo de Montreuil,99
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,136
Miss Sloane,John Madden,132
Fallen,Scott Hicks,91
Star Trek Beyond,Justin Lin,122
The Last Face,Sean Penn,130
Star Wars: Episode VII - The Force Awakens,J.J. Abrams,136
Underworld: Blood Wars,Anna Foerster,91
Mother's Day,Garry Marshall,118
John Wick,Chad Stahelski,101
The Dark Knight,Christopher Nolan,152
Silence,Martin Scorsese,161
Don't Breathe,Fede Alvarez,88
Me Before You,Thea Sharrock,106
Their Finest,Lone Scherfig,117
Sully,Clint Eastwood,96
Batman v Superman: Dawn of Justice,Zack Snyder,151
The Autopsy of Jane Doe,André Øvredal,86
The Girl on the Train,Tate Taylor,112
Fifty Shades of Grey,Sam Taylor-Johnson,125
The Prestige,Christopher Nolan,130
Kingsman: The Secret Service,Matthew Vaughn,129
Patriots Day,Peter Berg,133
Mad Max: Fury Road,George Miller,120
Wakefield,Robin Swicord,106
Deepwater Horizon,Peter Berg,107
The Promise,Terry George,133
Allied,Robert Zemeckis,124
A Monster Calls,J.A. Bayona,108
Collateral Beauty,David Frankel,97
Zootopia,Byron Howard,108
Pirates of the Caribbean: At World's End,Gore Verbinski,169
The Avengers,Joss Whedon,143
Inglourious Basterds,Quentin Tarantino,153
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,151
Ghostbusters,Paul Feig,116
Inception,Christopher Nolan,148
Captain Fantastic,Matt Ross,118
The Wolf of Wall Street,Martin Scorsese,180
Gone Girl,David Fincher,149
Furious Seven,James Wan,137
Jurassic World,Colin Trevorrow,124
Live by Night,Ben Affleck,129
Avatar,James Cameron,162
The Hateful Eight,Quentin Tarantino,187
The Accountant,Gavin O'Connor,128
Prisoners,Denis Villeneuve,153
Warcraft,Duncan Jones,123
The Help,Tate Taylor,146
War Dogs,Todd Phillips,114
Avengers: Age of Ultron,Joss Whedon,141
The Nice Guys,Shane Black,116
Kimi no na wa,Makoto Shinkai,106
The Void,Jeremy Gillespie,90
Personal Shopper,Olivier Assayas,105
The Departed,Martin Scorsese,151
Legend,Brian Helgeland,132
Thor,Kenneth Branagh,115
The Martian,Ridley Scott,144
Contratiempo,Oriol Paulo,106
The Man from U.N.C.L.E.,Guy Ritchie,116
